Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
Dirt: Showdown,Racing,Codemasters,Codemasters,"Jun 12, 2012","May 25, 2012",Unreleased,Unreleased,,XBO
Discs of Tron,Classics,Midway GamesDigital Eclipse,Disney Interactive Studios,"Feb 13, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Dishonored,Action,Arkane Studios,Bethesda Softworks,"Oct 9, 2012","Oct 12, 2012","Oct 11, 2012","Nov 22, 2013",,
The Dishwasher: Dead Samurai,Action & Adventure,Ska Studios,Microsoft Game Studios,"Apr 1, 2009",Unreleased,Unreleased,Unreleased,XBLA,
The Dishwasher: Vampire Smile,Action & Adventure,Ska Studios,Microsoft Game Studios,"Apr 6, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Disney Infinity,Action-adventure,Avalanche Software,Disney Interactive Studios,"Aug 18, 2013","Aug 20, 2013",Unreleased,"Nov 22, 2013",,
Disney Infinity 2.0,Action-adventure,Avalanche Software,Disney Interactive Studios,"Sep 23, 2014","Sep 19, 2014",Unreleased,"Sep 18, 2014",,
Disney Infinity 3.0,Action-adventure,Avalanche Software,Disney Interactive Studios,"Aug 30, 2015","Aug 28, 2014",Unreleased,"Sep 3, 2015",,
Disney Sing It,Music,Zoë Mode,Disney Interactive Studios,"Oct 21, 2008","Nov 7, 2008",Unreleased,"Nov 22, 2013",,
Disney Sing It! – High School Musical 3: Senior Year,Music,Zoë Mode,Disney Interactive Studios,"Feb 17, 2009","Dec 5, 2008",Unreleased,"Nov 22, 2013",,
Disney Universe,Fantasy,Eurocom,Disney Interactive Studios,"Oct 25, 2011","Oct 28, 2011",Unreleased,"Nov 22, 2013",,
Disorder 6,Visual novel,5pb. Games,5pb. Games,Unreleased,Unreleased,"Aug 22, 2013",Unreleased,,
Divinity II: Ego Draconis,Action role-playing,Larian Studios,CDV Software Entertainment,"Jan 5, 2010","Nov 20, 2009",Unreleased,"Nov 22, 2013",,
Divinity II: The Dragon Knight Saga,Action role-playing,Larian Studios,Atlus,"Apr 12, 2011",Aug 2010,Unreleased,"Nov 22, 2013",,XBO
DJ Hero,Music,FreeStyleGames,Activision,"Oct 27, 2009","Oct 29, 2009",Unreleased,"Nov 22, 2013",,
DJ Hero 2,Music,FreeStyleGames,Activision,"Oct 19, 2010","Oct 22, 2010",Unreleased,"Nov 22, 2013",,
DmC: Devil May Cry,"Hack & Slash, Action",Ninja Theory,Capcom,"Jan 15, 2013","Jan 15, 2013","Jan 17, 2013","Nov 22, 2013",,
DoDonPachi Dai Ou Jou Black Label Extra,Bullet Hell,Cave,5pb.,Unreleased,Unreleased,"Dec 25, 2008","Nov 22, 2013",,
Do-Don-Pachi Dai-Fukkatsu,Bullet Hell,Cave,Cave,Unreleased,Unreleased,"Nov 25, 2010","Nov 22, 2013",,
Do-Don-Pachi Dai-Fukkatsu Black Label,Bullet Hell,Cave,Cave,Unreleased,Unreleased,"Feb 3, 2011",Unreleased,,
DoDonPachi SaiDaiOuJou,Bullet Hell,Cave,Cave,Unreleased,Unreleased,"May 30, 2013",Unreleased,,
Dogfight 1942,Racing & Flying,CI Games,CI Games,"Sep 5, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Dollar Dash,Action & Adventure,Candygun Games,Kalypso Media,"Mar 6, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Domino Master,Card & Board,TikGames,Microsoft Game Studios,"Sep 17, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Don Bradman Cricket 14,Sports,Big Ant Studios,Tru Blu Entertainment,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Don King Presents: Prizefighter,Sports,Venom Games,2K Sports,"Jun 10, 2008","Jun 13, 2008",Unreleased,"Nov 22, 2013",,
Doodle Jump for Kinect,Kinect,Lima Sky,D3 Publisher,"Jun 28, 2013",Unreleased,Unreleased,Unreleased,K   XBLA,
Doom,Shooter,id Software,Bethesda Softworks,"Sep 27, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Doom 3 BFG Edition,First-person shooter,id Software,Bethesda Softworks,"Oct 16, 2012","Oct 19, 2012","Nov 22, 2012","Nov 22, 2013",3D,XBO
Doom II: Hell on Earth,Shooter,id Software,Bethesda Softworks,"May 26, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Doritos Crash Course,Platformer,Wanako Games,Microsoft Game Studios,"Dec 8, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Doritos Crash Course 2,Platformer,BHVR,Microsoft Studios,"May 8, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Double D Dodgeball,Sports & Recreation,Yuke's,Yuke's,"Jul 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Double Dragon,Classics,Razerworks,Empire Interactive,"May 9, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Double Dragon II: Wander of the Dragons,Action & Adventure,Gravity Interactive,Barunson,"Apr 5, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Double Dragon Neon,Action & Adventure,WayForward Technologies,Majesco Entertainment,"Sep 12, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Double Fine Happy Action Theater,Kinect,Double Fine Productions,Microsoft Studios,"Feb 1, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,
Dragon Age: Inquisition,Action Role-playing,BioWare,Electronic Arts,"Nov 18, 2014","Nov 21, 2014",Unreleased,"Nov 22, 2013",,
Dragon Age: Origins,Role-playing,BioWare,Electronic Arts,"Nov 3, 2009","Nov 6, 2009",Unreleased,"Nov 22, 2013",,XBO
Dragon Age: Origins – Awakening,"Role-playing, Expansion",BioWare,Electronic Arts,"Mar 16, 2010","Mar 18, 2010",Unreleased,"Nov 22, 2013",,
Dragon Age II,Action Role-playing,BioWare,Electronic Arts,"Mar 8, 2011","Mar 11, 2011",Unreleased,"Nov 22, 2013",,XBO
Dragon Ball: Raging Blast,Fighting,Spike,Namco Bandai Games,"Nov 10, 2009","Nov 13, 2009","Nov 12, 2009","Nov 22, 2013",,
Dragon Ball: Raging Blast 2,Fighting,Spike,Namco Bandai Games,"Nov 2, 2010","Oct 24, 2010","Nov 11, 2010","Nov 22, 2013",,
Dragon Ball Xenoverse,Fighting-Action,Dimps,Namco Bandai Games,"Feb 24, 2015","Feb 27, 2015","Feb 5, 2015","Nov 22, 2013",,
Dragon Ball Z: Battle of Z,Fighting,Artdink,Namco Bandai Games,"Jan 28, 2014","Jan 24, 2014","Jan 23, 2014",Unreleased,,
Dragon Ball Z: Budokai HD Collection,Fighting,Spike,Namco Bandai Games,"Nov 2, 2010","Oct 24, 2010","Nov 11, 2010","Nov 22, 2013",,
Dragon Ball Z: Burst Limit,Fighting,Dimps,Namco Bandai GamesAtari,"Jun 10, 2008","Jun 6, 2008","Jun 5, 2008","Jul 3, 2008",,
Dragon Ball Z: Ultimate Tenkaichi,Fighting,Spike,Namco Bandai Games,"Oct 25, 2011","Oct 28, 2011","Dec 8, 2011","Nov 22, 2013",,
Dragon Ball Z for Kinect,Fighting,Spike Chunsoft,Namco Bandai Games,"Oct 9, 2012","Oct 2, 2012",Unreleased,Unreleased,K,
Dragon's Dogma,"Action Role-playing, Open World",Capcom,Capcom,"May 25, 2012","May 24, 2012","May 24, 2012","Nov 22, 2013",,
Dragon's Dogma: Dark Arisen,"Action Role-playing, Open World",Capcom,Capcom,"Apr 23, 2013","Apr 23, 2013","Apr 23, 2013","Nov 22, 2013",,
Dragon's Lair,Classics,Digital Leisure,Microsoft Studios,"May 18, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,XBO
Dream Chronicles,Puzzle & Trivia,KatGames,PlayFirst,"Oct 20, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Dream Club,Dating sim,Tamsoft,D3 Publisher,Unreleased,Unreleased,"Aug 27, 2009",Unreleased,,
Dream Club Zero,Dating sim,Tamsoft,D3 Publisher,Unreleased,Unreleased,"Jan 27, 2011",Unreleased,,
Dream Pinball 3D II,Pinball simulator,ASK Homework,TopWare Interactive,Unreleased,"Nov 13, 2013",Unreleased,Unreleased,,
Dreamcast Collection,Compilation,Sega,Sega,"Feb 22, 2011","Feb 25, 2011",Unreleased,"Nov 22, 2013",,
DreamWorks Super Star Kartz,Racing,High Impact Games,Activision,"Nov 15, 2011","Nov 18, 2011",Unreleased,"Nov 22, 2013",,
Driver: San Francisco,"Racing Mission, Open World",Ubisoft Reflections,Ubisoft,"Sep 6, 2011","Sep 2, 2011","Nov 10, 2011","Nov 22, 2013",,XBO
Droplitz,Puzzle & Trivia,Blitz Arcade,Atlus,"Jun 24, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Duck Dynasty,Hunting/Fishing,Activision,Activision,"Oct 14, 2014",Unreleased,Unreleased,Unreleased,,
DuckTales: Remastered,Platformer,WayForward Technologies,Capcom,"Sep 11, 2013","Nov 12, 2013",Unreleased,"Nov 22, 2013",XBLA,XBO
Duke Nukem 3D,Shooter,3D Realms,Microsoft Game Studios,"Sep 24, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Duke Nukem Forever,First-person shooter,Gearbox Software,2K Games,"Jun 14, 2011","Jun 10, 2011","Jun 10, 2011","Nov 22, 2013",,XBO
Duke Nukem: Manhattan Project,Action & Adventure,3D Realms,Microsoft Game Studios,"Jun 23, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Dunamis 15,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Sep 15, 2011",Unreleased,,
Dungeon Defenders,Strategy & ARole-playing,Trendy Entertainment,D3 Publisher,"Oct 19, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Dungeon Fighter Live: Fall of Hendon Myre,Role Playing,Nexon,Microsoft Studios,"Jul 13, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Dungeon Siege III,Action Role-playing,Obsidian Entertainment,Square Enix,"Jun 21, 2011","Jun 17, 2011","Jul 28, 2011","Nov 22, 2013",,XBO
Dungeons & Dragons: Chronicles of Mystara (Shadow Over Mystara and Tower of Doom),Action & Adventure,Iron Galaxy,Capcom,"Jun 19, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Dungeons & Dragons: Daggerdale,Role Playing,Bedlam Games,Atari,"May 25, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Dust: An Elysian Tail,Platformer,Humble Hearts,Microsoft Studios,"Aug 15, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Dustforce,Platformer,Hitbox Team,Capcom,"Apr 25, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Dynasty Warriors 5 Empires,"Hack & Slash, Tactical Role-playing",Omega Force,Koei,"Mar 28, 2006","Jun 23, 2006","Mar 23, 2006","Jun 23, 2006",,
Dynasty Warriors 6,"Hack & Slash, Tactical Role-playing",Omega Force,Koei,"Feb 19, 2008","Mar 7, 2008","Nov 11, 2007","Nov 22, 2013",,
Dynasty Warriors 6 Empires,"Hack & Slash, Tactical Role-playing",Omega Force,Koei,"Jun 16, 2009","Jun 26, 2009","Jan 29, 2009","Nov 22, 2013",,
Dynasty Warriors 7,"Hack & Slash, Tactical Role-playing",Omega Force,Koei,"Mar 25, 2011","Mar 25, 2011","Mar 25, 2011","Nov 22, 2013",,
Dynasty Warriors 8,"Hack & Slash, Tactical Role-playing",Omega Force,Koei,"Jul 16, 2013","Jul 19, 2013","Feb 28, 2013","Nov 22, 2013",,
Dynasty Warriors: Gundam,"Hack and slash, tactical role-playing","Koei, Omega Force","Namco Bandai, KoeiEU","Aug 28, 2007","Nov 9, 2007","Mar 1, 2007","Nov 22, 2013",,
Dynasty Warriors: Gundam 2,"Hack & Slash, Tactical Role-playing",Omega Force,"Namco Bandai, KoeiEU","Apr 21, 2009","Apr 24, 2009","Dec 18, 2008","Nov 22, 2013",,
Dynasty Warriors: Gundam 3,"Hack & Slash, Tactical Role-playing","Koei, Omega Force","Namco Bandai, KoeiEU","Jun 28, 2011","Jul 1, 2011","Dec 16, 2010","Nov 22, 2013",,
Dynasty Warriors: Strikeforce,"Hack & Slash, Tactical Role-playing",Koei,Koei,"Feb 16, 2010","Feb 19, 2010","Oct 1, 2009","Nov 22, 2013",,
EA Sports Active 2,,EA Vancouver,EA Sports,"Nov 16, 2010","Nov 19, 2010","Nov 18, 2010",Unreleased,K,
EA Sports Fantasy Football:Live Draft Tracker,"Application, Sports & Recreation",EA Tiburon,EA Sports,"Jul 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
EA Sports Fantasy Football:Live Score Tracker,"Application, Sports & Recreation",EA Tiburon,EA Sports,"Sep 3, 2008",Unreleased,Unreleased,Unreleased,XBLA,
EA Sports MMA,Sports,EA Tiburon,EA Sports,"Oct 19, 2010","Oct 19, 2010","Oct 19, 2010","Nov 22, 2013",,
Earth Defense Force 2017,Third-person shooter,Sandlot,D3 Publisher,"Mar 20, 2007","Mar 20, 2007","Dec 14, 2006","Nov 22, 2013",,XBO
Earth Defense Force 2025,Third-person shooter,Sandlot,D3 Publisher,"Feb 18, 2014","Feb 21, 2014","Jul 4, 2013","Nov 22, 2013",,XBO
Earth Defense Force: Insect Armageddon,Third-person Shooter,Vicious Cycle Software,D3 Publisher,"Jul 5, 2011","Jul 22, 2011","Jul 7, 2011","Nov 22, 2013",,XBO
Earthworm Jim HD,Classics,Gameloft,Microsoft Game Studios,"Jun 9, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Eat Lead: The Return of Matt Hazard,Third-person Shooter,Vicious Cycle Software,D3 Publisher,"Feb 26, 2009","Mar 6, 2009","Feb 18, 2009","Nov 22, 2013",,XBO
Ecco the Dolphin,Classics,Novotrade InternationalDigital Eclipse,Sega,"Aug 15, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Eets: Chowdown,Puzzle & Trivia,Klei Entertainment,Microsoft Game Studios,"Apr 25, 2007",Unreleased,Unreleased,Unreleased,XBLA,
El Chavo Kart,Racing,Effecto Studios (along with Slang),Televisa Home Entertainment,"Feb 21, 2014",Unreleased,Unreleased,"Nov 22, 2013",,
The Elder Scrolls IV: Oblivion,"Action RPG, Open World",Bethesda Game Studios,2K Games,"Mar 20, 2006","Mar 24, 2006","Jul 26, 2007","Mar 23, 2006",,XBO   XE
The Elder Scrolls IV: Shivering Isles,"Action RPG, Open World, expansion",Bethesda Game Studios,Bethesda Softworks,"Oct 16, 2007","Nov 23, 2007",Unreleased,"Nov 23, 2007",,
The Elder Scrolls V: Skyrim,"Action RPG, Open World",Bethesda Game Studios,Bethesda Softworks,"Nov 11, 2011","Nov 11, 2011","Dec 8, 2011","Nov 11, 2011",K,
El Shaddai: Ascension of the Metatron,Action,Ignition Tokyo,UTV Ignition Games,"Aug 16, 2011","Sep 8, 2011","Apr 28, 2011","Sep 15, 2011",,
Elements of Destruction,Strategy & Simulation,Frozen Codebase,THQ,"Jun 18, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Enchanted Arms,Role-playing,From Software,Ubisoft,"Aug 29, 2006","Sep 8, 2006","Jan 12, 2006","Sep 7, 2006",,XBO
Encleverment Experiment,Family & Educational,Blitz Arcade,Microsoft Game Studios,"Nov 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Enemy Front,First-person shooter,City Interactive,City Interactive,"Jun 10, 2014","Jun 13, 2014","Jun 13, 2014","Nov 22, 2013",,
Enemy Territory: Quake Wars,First-person shooter,"id Software, Nerve Software",Activision,"May 27, 2008","May 30, 2008",Unreleased,"Nov 22, 2013",,
Enslaved: Odyssey to the West,"Action-adventure, Platform",Ninja Theory,Namco Bandai Games,"Oct 5, 2010","Oct 8, 2010","Oct 7, 2010","Oct 7, 2010",,XBO
Entaku no Seito: Students of Round,Action role-playing,Experience Inc.,ChunSoft,Unreleased,Unreleased,"Feb 10, 2011",Unreleased,,
Epic Mickey 2: The Power of Two,"Action-adventure, Platform",Blitz Games,Disney Interactive Studios,"Nov 18, 2012","Nov 23, 2012",Unreleased,"Nov 22, 2013",3D,XBO
Eragon,"Hack & Slash, Action-adventure",Stormfront Studios,Vivendi Games,"Nov 14, 2006","Nov 24, 2006",Unreleased,"Nov 23, 2006",,
Escape Dead Island,"Action, Survival Horror, Stealth",Fatshark,Deep Silver,"Nov 18, 2014","Nov 21, 2014","Nov 28, 2014","Nov 22, 2013",,XBO
The Escapists,Strategy & Simulation,Mouldy Toof Studios/Team17,Team17,"Dec 18, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Eschatos,Scrolling Shooter,Qute,Qute,Unreleased,Unreleased,"Feb 28, 2012",Unreleased,,
Espgaluda II,Bullet Hell,Cave,Cave,Unreleased,Unreleased,"Feb 25, 2010","Nov 22, 2013",,
Eternal Sonata,Role-playing,Tri-Crescendo,Namco Bandai Games,"Sep 17, 2007","Oct 19, 2007","Jun 14, 2007","Nov 22, 2013",,
Ever17,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Dec 1, 2011","Nov 22, 2013",,
Every Extend Extra Extreme,Action & Adventure,Q Entertainment,Microsoft Game Studios,"Oct 17, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Everyone Sing,"Party Game, Singing Game",O-Games,O-Games,"Sep 4, 2012","Sep 4, 2012",Unreleased,"Sep 4, 2012",,
Every Party,Party Game,Game Republic,Microsoft Game Studios,Unreleased,Unreleased,"Dec 10, 2005",Unreleased,,
The Evil Within,"Survival horror, third-person shooter",Tango Gameworks,Bethesda Softworks,"Oct 14, 2014","Oct 14, 2014","Oct 23, 2014","Nov 22, 2013",,
Exit,Puzzle & Trivia,Taito,Taito,"Oct 24, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Exit 2,Puzzle & Trivia,Taito,Taito,"Feb 25, 2009",Unreleased,Unreleased,Unreleased,XBLA,
The Expendables 2 Video Game,Shooter,ZootFly,Ubisoft,"Aug 17, 2012",Unreleased,Unreleased,Unreleased,XBLA,
F.E.A.R.,"First-person shooter, Survival horror",Day 1 Studios,Vivendi Games,"Oct 31, 2006","Nov 10, 2006",Unreleased,"Oct 31, 2006",,
F.E.A.R. 2: Project Origin,"First-person shooter, Survival horror",Monolith Productions,Warner Bros. Interactive Entertainment,"Feb 10, 2009","Feb 13, 2009",Unreleased,"Nov 22, 2013",,
F.E.A.R. 3,"First-person shooter, Survival horror",Day 1 Studios,Warner Bros. Interactive Entertainment,"Jun 21, 2011","Jun 24, 2011","Jul 21, 2011","Nov 22, 2013",,
F.E.A.R. Files,"First-person shooter, Survival horror",TimeGate Studios,Sierra Entertainment,"Nov 6, 2007","Nov 16, 2007",Unreleased,"Nov 22, 2013",,
F1 2010,Racing,Codemasters Birmingham,Codemasters,"Sep 22, 2010","Sep 23, 2010",Unreleased,"Nov 22, 2013",,
F1 2011,Racing,Codemasters Birmingham,Codemasters,"Sep 20, 2011","Sep 23, 2011",Unreleased,"Nov 22, 2013",,
F1 2012,Racing,Codemasters Birmingham,Codemasters,"Sep 18, 2012","Sep 21, 2012",Unreleased,"Nov 22, 2013",,
F1 2013,Racing,Codemasters Birmingham,Codemasters,"Oct 8, 2013","Oct 4, 2013",Unreleased,"Nov 22, 2013",,
F1 2014,Racing,Codemasters Birmingham,Codemasters,"Oct 21, 2014","Oct 17, 2014",Unreleased,"Nov 22, 2013",,XBO
F1 Race Stars,Racing,Codemasters Birmingham,Codemasters,"Nov 12, 2012","Nov 12, 2012",Unreleased,"Nov 22, 2013",,
Fable Anniversary,"Action Role-playing, Open World",Lionhead Studios,Microsoft Studios,"Feb 4, 2014","Feb 7, 2014","Feb 6, 2014","Nov 22, 2013",,XBO   XE
Fable Heroes,Action & Adventure,Lionhead Studios,Microsoft Game Studios,"May 2, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fable II,"Action Role-playing, Open World",Lionhead Studios,Microsoft Game Studios,"Oct 21, 2008","Oct 24, 2008","Dec 18, 2008","Nov 22, 2013",,XBO   XE
Fable II Pub Games,Card & Board,Carbonated Games/Lionhead Studios,Microsoft Game Studios,"Aug 13, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fable III,"Action Role-playing, Open World",Lionhead Studios,Microsoft Game Studios,"Oct 26, 2010","Oct 26, 2010","Oct 26, 2010","Nov 22, 2013",,XBO   XE
Fable: The Journey,,Lionhead Studios,Microsoft Studios,"Oct 9, 2012","Oct 12, 2012",Unreleased,Unreleased,K,
FaceBreaker,Sports,EA Canada,EA Sports Freestyle,"Sep 3, 2008","Sep 5, 2008","Oct 16, 2008","Nov 22, 2013",,
Faery: Legends of Avalon,Role Playing,Spiders,Focus Home Interactive,"Nov 10, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fairytale Fights,"Hack & Slash, Action-adventure",Playlogic,Playlogic,"Oct 27, 2009","Oct 23, 2009",Unreleased,"Nov 22, 2013",,
Falling Skies: The Game,Strategy,Torus Games,Little Orbit,"Sep 23, 2014","Sep 23, 2014",Unreleased,"Nov 22, 2013",,
Fallout 3,"Action Role-playing, Open World",Bethesda Game Studios,Bethesda Softworks,"Oct 28, 2008","Oct 31, 2008","Dec 4, 2008","Nov 22, 2013",,XBO   XE
Fallout 3 Game Add-On Pack - Broken Steel and Point Lookout,"Action Role-playing, Open World, Expansion",Bethesda Game Studios,Bethesda Softworks,"Aug 27, 2009","Nov 22, 2013","Nov 22, 2013","Nov 22, 2013",,
Fallout 3 Game Add-On Pack - The Pitt and Operation Anchorage,"Action Role-playing, Open World, Expansion",Bethesda Game Studios,Bethesda Softworks,"Jul 16, 2009","Nov 22, 2013","Nov 22, 2013","Nov 22, 2013",,
Fallout: New Vegas,Action Role-playing,Obsidian Entertainment,Bethesda Softworks,"Oct 19, 2010","Oct 19, 2010","Oct 22, 2010","Oct 21, 2010",,XBO
Family Feud 2012,Trivia,Pipeworks Software,THQ,"Oct 18, 2012","Oct 18, 2012",Unreleased,Unreleased,,
Family Guy: Back to the Multiverse,Action-adventure,Heavy Iron Studios,Activision,"Nov 20, 2012","Nov 23, 2012","Nov 21, 2012",Unreleased,,
The Fancy Pants Adventures,Platformer,Borne Games/Over the Top Games,Electronic Arts,"Apr 20, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Fantasia: Music Evolved,,Harmonix Music Systems,Microsoft Studios,"Oct 21, 2014","Oct 24, 2014","Oct 23, 2014",Unreleased,K,
Fantastic Four: Rise of the Silver Surfer,"Action-adventure, Third-person",Visual Concepts,2K Games,"Jun 15, 2007","Jun 15, 2007",Unreleased,"Nov 22, 2013",,
Fantastic Pets,,Blitz Games Studios,THQ,"Apr 12, 2011","Apr 15, 2011","Apr 14, 2011",Unreleased,K,
Far Cry 2,"First-person shooter, Open World",Ubisoft Montreal,Ubisoft,"Oct 21, 2008","Oct 24, 2008","Nov 27, 2008","Nov 22, 2013",,XBO
Far Cry 3,"First-person shooter, Open world",Ubisoft Montreal,Ubisoft,"Dec 4, 2012","Nov 29, 2012","Nov 29, 2012","Nov 22, 2013",,XBO
Far Cry 3: Blood Dragon,Shooter,Ubisoft Montreal,Ubisoft,"May 1, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Far Cry 4,"First-person shooter, Open world",Ubisoft Montreal,Ubisoft,"Nov 18, 2014","Nov 20, 2014","Nov 21, 2014","Nov 22, 2013",,
Far Cry Classic,Shooter,Crytek,Ubisoft,"Feb 11, 2014","Feb 12, 2014",Unreleased,"Feb 12, 2014",XBLA,XBO
Far Cry Instincts Predator,First-person shooter,Ubisoft Montreal,Ubisoft,"Mar 28, 2006","Mar 31, 2006",Unreleased,"Nov 22, 2013",,XBO
Farming Simulator,Simulation,Giants Software,Focus Home Interactive,"Sep 6, 2013","Sep 6, 2013","Sep 6, 2013","Nov 22, 2013",,XBO
Farming Simulator 15,Simulation,Giants Software,Focus Home Interactive,"May 19, 2015","May 19, 2015",Unreleased,"Nov 22, 2013",,
Fast & Furious: Showdown,Racing,Firebrand Games,Activision,"May 21, 2013","May 24, 2013","May 22, 2013","Nov 22, 2013",,
Fatal Fury Special,Classics,SNK,SNK,"Sep 5, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Fatal Inertia,Racing,Stormfront Studios,Vivendi Games,"Sep 11, 2007","Sep 14, 2007","Sep 6, 2007","Nov 22, 2013",,
Feeding Frenzy,Action & Adventure,PopCap Games,Microsoft Game Studios,"Mar 15, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Feeding Frenzy 2: Shipwreck Showdown,Action & Adventure,PopCap Games,PopCap Games,"Sep 17, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fez,Action & Adventure,Polytron Corporation,Microsoft Studios,"Apr 13, 2012",Unreleased,Unreleased,Unreleased,XBLA,
FIFA 06: Road to FIFA World Cup,Sports,EA Canada,EA Sports,"Nov 22, 2005","Dec 2, 2005","Dec 10, 2005",Unreleased,,
FIFA 07,Sports,EA Canada,EA Sports,"Dec 22, 2006","Jan 11, 2007",Unreleased,"Dec 26, 2006",,
FIFA 08,Sports,EA Canada,EA Sports,"Oct 9, 2007","Sep 28, 2007","Dec 20, 2007","Sep 27, 2007",,
FIFA 09,Sports,EA Canada,EA Sports,"Oct 14, 2008","Oct 3, 2008","Dec 18, 2008","Oct 2, 2008",,
FIFA 10,Sports,EA Canada,EA Sports,"Oct 20, 2009","Oct 2, 2009","Oct 22, 2009","Oct 1, 2009",,
FIFA 11,Sports,EA Canada,EA Sports,"Sep 28, 2010","Oct 1, 2010","Oct 21, 2010","Sep 30, 2010",,
FIFA 12,Sports,EA Canada,EA Sports,"Sep 27, 2011","Sep 30, 2011","Oct 22, 2011","Sep 29, 2011",,
FIFA 13,Sports,EA Canada,EA Sports,"Sep 25, 2012","Sep 28, 2012","Oct 18, 2012","Sep 27, 2012",K,
FIFA 14,Sports,EA Canada,EA Sports,"Sep 24, 2013","Sep 24, 2013","Oct 17, 2013","Sep 24, 2013",K,
FIFA 15,Sports,EA Canada,EA Sports,"Sep 23, 2014","Sep 25, 2014","Oct 9, 2014","Sep 25, 2014",K,
FIFA 16,Sports,EA Canada,EA Sports,"Sep 22, 2015","Sep 24, 2015","Oct 8, 2015","Sep 24, 2015",K,
FIFA 17,Sports,EA Canada,EA Sports,"Sep 27, 2016","Sep 29, 2016","Sep 29, 2016","Nov 22, 2013",,
FIFA 18: Legacy Edition,Sports,EA Canada,EA Sports,"Sep 29, 2017","Sep 29, 2017","Sep 29, 2017","Sep 29, 2017",,
FIFA 19: Legacy Edition,Sports,EA Canada,EA Sports,"Sep 28, 2018","Sep 28, 2018","Sep 28, 2018","Sep 28, 2018",,
FIFA Street,Sports,EA Canada,EA Sports,"Mar 13, 2012","Mar 16, 2012",Unreleased,"Nov 22, 2013",,
FIFA Street 3,Sports,EA Canada,EA Sports BIG,"Feb 18, 2008","Feb 22, 2008","Jun 5, 2008","Nov 22, 2013",,
Fight Night Champion,Sports,EA Canada,EA Sports,"Mar 1, 2011","Mar 4, 2011",Unreleased,"Nov 22, 2013",,XBO
Fight Night Round 3,Sports,EA Chicago,EA Sports,"Feb 20, 2006","Mar 10, 2006","Mar 30, 2006","Mar 23, 2006",,
Fight Night Round 4,Sports,EA Canada,EA Sports,"Jun 30, 2009","Jun 26, 2009",Unreleased,"Nov 22, 2013",,
Fighters Uncaged,,AMA Studios,Ubisoft,"Nov 4, 2010","Nov 10, 2010","Nov 18, 2010","May 26, 2011",K,
Fighting Vipers,Fighting,Sega,Sega,"Nov 28, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Final Exam,Action & Adventure,Mighty Rocket Studio,Focus Home Interactive,"Nov 8, 2013",Unreleased,Unreleased,Unreleased,XBLA,
